Name,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
Boiler Emissions- Total PM2.5 Emissions,UHF42,401,Long Island City - Astoria,2013,2013-01-01,0.8
Boiler Emissions- Total PM2.5 Emissions,UHF42,402,West Queens,2013,2013-01-01,0.3
Boiler Emissions- Total PM2.5 Emissions,UHF42,403,Flushing - Clearview,2013,2013-01-01,0.6
Boiler Emissions- Total PM2.5 Emissions,UHF42,404,Bayside - Little Neck,2013,2013-01-01,0.2
Boiler Emissions- Total PM2.5 Emissions,UHF42,405,Ridgewood - Forest Hills,2013,2013-01-01,0.3
Boiler Emissions- Total PM2.5 Emissions,UHF42,406,Fresh Meadows,2013,2013-01-01,0.5
Boiler Emissions- Total PM2.5 Emissions,UHF42,407,Southwest Queens,2013,2013-01-01,0.1
Boiler Emissions- Total PM2.5 Emissions,UHF42,408,Jamaica,2013,2013-01-01,0.1
Boiler Emissions- Total PM2.5 Emissions,UHF42,409,Southeast Queens,2013,2013-01-01,0.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,410,Rockaways,2013,2013-01-01,0.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,501,Port Richmond,2013,2013-01-01,0.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,502,Stapleton - St. George,2013,2013-01-01,0.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,503,Willowbrook,2013,2013-01-01,0.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,504,South Beach - Tottenville,2013,2013-01-01,0.0
Boiler Emissions- Total PM2.5 Emissions,Citywide,1,New York City,2013,2013-01-01,0.7
Boiler Emissions- Total PM2.5 Emissions,Borough,1,Bronx,2013,2013-01-01,1.2
Boiler Emissions- Total PM2.5 Emissions,Borough,2,Brooklyn,2013,2013-01-01,0.1
Boiler Emissions- Total PM2.5 Emissions,Borough,3,Manhattan,2013,2013-01-01,5.9
Boiler Emissions- Total PM2.5 Emissions,Borough,4,Queens,2013,2013-01-01,0.3
Boiler Emissions- Total PM2.5 Emissions,Borough,5,Staten Island,2013,2013-01-01,0.0
Boiler Emissions- Total NOx Emissions,UHF42,101,Kingsbridge - Riverdale,2013,2013-01-01,42.5
Boiler Emissions- Total NOx Emissions,UHF42,102,Northeast Bronx,2013,2013-01-01,33.8
Boiler Emissions- Total NOx Emissions,UHF42,103,Fordham - Bronx Pk,2013,2013-01-01,71.0
Boiler Emissions- Total NOx Emissions,UHF42,104,Pelham - Throgs Neck,2013,2013-01-01,24.9
Boiler Emissions- Total NOx Emissions,UHF42,105,Crotona -Tremont,2013,2013-01-01,62.5
Boiler Emissions- Total NOx Emissions,UHF42,106,High Bridge - Morrisania,2013,2013-01-01,78.0
Boiler Emissions- Total NOx Emissions,UHF42,107,Hunts Point - Mott Haven,2013,2013-01-01,36.8
Boiler Emissions- Total NOx Emissions,UHF42,201,Greenpoint,2013,2013-01-01,18.9
Boiler Emissions- Total NOx Emissions,UHF42,202,Downtown - Heights - Slope,2013,2013-01-01,32.0
Boiler Emissions- Total NOx Emissions,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,2013-01-01,31.7
Boiler Emissions- Total NOx Emissions,UHF42,204,East New York,2013,2013-01-01,14.7
Boiler Emissions- Total NOx Emissions,UHF42,205,Sunset Park,2013,2013-01-01,13.4
Boiler Emissions- Total NOx Emissions,UHF42,206,Borough Park,2013,2013-01-01,34.8
Boiler Emissions- Total NOx Emissions,UHF42,207,East Flatbush - Flatbush,2013,2013-01-01,33.5
Boiler Emissions- Total NOx Emissions,UHF42,208,Canarsie - Flatlands,2013,2013-01-01,6.7
Boiler Emissions- Total NOx Emissions,UHF42,209,Bensonhurst - Bay Ridge,2013,2013-01-01,26.5
Boiler Emissions- Total NOx Emissions,UHF42,210,Coney Island - Sheepshead Bay,2013,2013-01-01,23.7
Boiler Emissions- Total NOx Emissions,UHF42,211,Williamsburg - Bushwick,2013,2013-01-01,27.8
Boiler Emissions- Total NOx Emissions,UHF42,301,Washington Heights,2013,2013-01-01,115.3
Boiler Emissions- Total NOx Emissions,UHF42,302,Central Harlem - Morningside Heights,2013,2013-01-01,82.1
Boiler Emissions- Total NOx Emissions,UHF42,303,East Harlem,2013,2013-01-01,55.8
Boiler Emissions- Total NOx Emissions,UHF42,304,Upper West Side,2013,2013-01-01,247.9
Boiler Emissions- Total NOx Emissions,UHF42,305,Upper East Side,2013,2013-01-01,269.8
Boiler Emissions- Total NOx Emissions,UHF42,306,Chelsea - Clinton,2013,2013-01-01,204.8
Boiler Emissions- Total NOx Emissions,UHF42,307,Gramercy Park - Murray Hill,2013,2013-01-01,284.7
Boiler Emissions- Total NOx Emissions,UHF42,308,Greenwich Village - SoHo,2013,2013-01-01,132.5
Boiler Emissions- Total NOx Emissions,UHF42,309,Union Square - Lower East Side,2013,2013-01-01,126.1
Boiler Emissions- Total NOx Emissions,UHF42,310,Lower Manhattan,2013,2013-01-01,118.7
Boiler Emissions- Total NOx Emissions,UHF42,401,Long Island City - Astoria,2013,2013-01-01,30.6
Boiler Emissions- Total NOx Emissions,UHF42,402,West Queens,2013,2013-01-01,24.6
Boiler Emissions- Total NOx Emissions,UHF42,403,Flushing - Clearview,2013,2013-01-01,18.7
Boiler Emissions- Total NOx Emissions,UHF42,404,Bayside - Little Neck,2013,2013-01-01,10.4
Boiler Emissions- Total NOx Emissions,UHF42,405,Ridgewood - Forest Hills,2013,2013-01-01,23.6
Boiler Emissions- Total NOx Emissions,UHF42,406,Fresh Meadows,2013,2013-01-01,15.3
Boiler Emissions- Total NOx Emissions,UHF42,407,Southwest Queens,2013,2013-01-01,14.5
Boiler Emissions- Total NOx Emissions,UHF42,408,Jamaica,2013,2013-01-01,13.2
Boiler Emissions- Total NOx Emissions,UHF42,409,Southeast Queens,2013,2013-01-01,8.1
Boiler Emissions- Total NOx Emissions,UHF42,410,Rockaways,2013,2013-01-01,6.1
Boiler Emissions- Total NOx Emissions,UHF42,501,Port Richmond,2013,2013-01-01,2.8
Boiler Emissions- Total NOx Emissions,UHF42,502,Stapleton - St. George,2013,2013-01-01,4.7
Boiler Emissions- Total NOx Emissions,UHF42,503,Willowbrook,2013,2013-01-01,2.1
Boiler Emissions- Total NOx Emissions,UHF42,504,South Beach - Tottenville,2013,2013-01-01,2.0
Boiler Emissions- Total NOx Emissions,Citywide,1,New York City,2013,2013-01-01,29.4
Boiler Emissions- Total NOx Emissions,Borough,1,Bronx,2013,2013-01-01,42.7
Boiler Emissions- Total NOx Emissions,Borough,2,Brooklyn,2013,2013-01-01,22.8
Boiler Emissions- Total NOx Emissions,Borough,3,Manhattan,2013,2013-01-01,161.1
Boiler Emissions- Total NOx Emissions,Borough,4,Queens,2013,2013-01-01,16.1
Boiler Emissions- Total NOx Emissions,Borough,5,Staten Island,2013,2013-01-01,2.7
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,101,Kingsbridge - Riverdale,2005,2005-01-01,2.9
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,102,Northeast Bronx,2005,2005-01-01,2.8
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,103,Fordham - Bronx Pk,2005,2005-01-01,2.7
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,104,Pelham - Throgs Neck,2005,2005-01-01,2.7
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,105,Crotona -Tremont,2005,2005-01-01,3.0
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,106,High Bridge - Morrisania,2005,2005-01-01,3.0
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,107,Hunts Point - Mott Haven,2005,2005-01-01,2.8
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,201,Greenpoint,2005,2005-01-01,3.7
Sulfur Dioxide (SO2),CD,209,Parkchester and Soundview (CD9),Winter 2009-10,2009-12-01,3.85
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,202,Downtown - Heights - Slope,2005,2005-01-01,3.7
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,203,Bedford Stuyvesant - Crown Heights,2005,2005-01-01,2.5
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,204,East New York,2005,2005-01-01,2.3
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,205,Sunset Park,2005,2005-01-01,3.2
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,206,Borough Park,2005,2005-01-01,2.5
Air Toxics Concentrations- Average Benzene Concentrations,UHF42,207,East Flatbush - Flatbush,2005,2005-01-01,2.3
